date,volumeto,close,bitcoin,num_tweets
2014-04-09,1547153.29,384.63,3.72,8193.0
2014-04-10,2175242.95,435.14,4.0,15039.0
2014-04-11,2293511.2,437.65,3.88,14907.0
2014-04-12,2143146.77,427.6,2.88,7582.0
2014-04-13,3546258.23,478.38,2.64,10674.0
2014-04-14,3945871.12,526.43,2.96,13266.0
2014-04-15,4192651.96,536.95,3.28,14835.0
2014-04-16,4097576.42,502.0,3.76,15790.0
2014-04-17,4112826.37,485.52,3.16,15215.0
2014-04-18,4154929.41,506.02,2.88,14028.0
2014-04-19,3879198.08,498.51,2.68,12337.0
2014-04-20,3688692.95,495.16,2.52,12139.0
2014-04-21,2824567.04,487.91,2.76,14244.0
2014-04-22,2340457.5,487.3,2.72,16098.0
2014-04-23,2075376.08,500.29,2.76,16232.0
2014-04-24,3000226.26,464.49,2.6,15471.0
2014-04-25,3157540.11,457.87,3.08,15255.0
2014-04-26,3154922.76,443.18,2.44,12283.0
2014-04-27,2004954.25,441.92,2.36,11667.0
2014-04-28,1670352.0,446.12,2.76,15969.0
2014-04-29,1831533.23,445.63,2.52,16706.0
2014-04-30,1915772.6,460.13,2.92,17588.0
2014-05-01,1532239.38,453.67,2.67,16988.0
2014-05-02,1143291.68,438.65,2.22,20057.0
2014-05-03,1470650.15,436.05,2.16,12910.0
2014-05-04,1328247.91,430.87,2.34,12716.0
2014-05-05,1809731.58,432.19,2.7,21273.0
2014-05-06,2209759.82,446.55,2.49,16806.0
2014-05-07,1134338.74,441.11,2.28,16970.0
2014-05-08,1013830.03,445.45,2.73,21518.0
2014-05-09,210112.72,451.9,2.4,17442.0
2014-05-10,845213.87,433.23,2.04,14225.0
2014-05-11,610287.27,438.21,2.07,13469.0
2014-05-12,1164049.43,433.92,2.19,15910.0
2014-05-13,978031.93,442.63,2.55,16935.0
2014-05-14,989003.27,448.1,2.22,18167.0
2014-05-15,799913.51,453.63,2.67,32817.0
2014-05-16,776390.65,452.79,2.37,14474.0
2014-05-17,653912.75,450.14,2.1,14587.0
2014-05-18,602742.49,443.9,2.13,12892.0
2014-05-19,883359.54,484.57,2.25,13595.0
2014-05-20,689104.32,488.84,2.49,21515.0
2014-05-21,1589075.16,515.36,2.28,20254.0
2014-05-22,1457339.18,518.09,2.76,20217.0
2014-05-23,1492790.86,520.46,2.46,19485.0
2014-05-24,1037758.33,570.44,2.19,13630.0
2014-05-25,1712997.86,582.01,2.49,13823.0
2014-05-26,1947436.25,570.1,2.91,14792.0
2014-05-27,2054559.38,570.84,2.97,19718.0
2014-05-28,2121556.72,564.42,2.79,18545.0
2014-05-29,3688564.78,612.35,3.0,17571.0
2014-05-30,2738340.83,627.91,2.94,21731.0
2014-05-31,2322782.86,649.79,2.46,12882.0
2014-06-01,2650871.52,655.49,2.22,12849.0
2014-06-02,2883100.21,669.43,2.43,16427.0
2014-06-03,3601867.65,638.93,2.67,17858.0
2014-06-04,1825395.47,660.18,2.16,18010.0
2014-06-05,3978265.23,650.41,2.19,18707.0
2014-06-06,1298892.32,651.67,2.04,16611.0
2014-06-07,2167689.11,651.05,1.95,12557.0
2014-06-08,2126014.84,644.35,1.89,12134.0
2014-06-09,2340867.13,655.62,1.95,14497.0
2014-06-10,2491455.0,642.95,2.13,16631.0
2014-06-11,2928622.01,597.13,2.49,19356.0
2014-06-12,4612164.04,610.35,2.64,19092.0
2014-06-13,2985483.68,583.42,3.0,19128.0
2014-06-14,2272289.86,582.29,2.34,16078.0
2014-06-15,2403694.57,599.08,2.22,15810.0
2014-06-16,1820590.33,605.09,2.46,18430.0
2014-06-17,2037434.53,606.21,2.37,18560.0
2014-06-18,3433287.5,600.17,2.13,15957.0
2014-06-19,1312852.79,590.75,2.28,17605.0
2014-06-20,1373722.22,597.04,2.19,17459.0
2014-06-21,1240859.44,603.62,1.89,15113.0
2014-06-22,1594834.62,591.17,1.95,13838.0
2014-06-23,1840620.26,588.77,1.89,16325.0
2014-06-24,1797681.03,568.45,1.83,17005.0
2014-06-25,2401035.72,582.7,1.7999999999999998,17683.0
2014-06-26,2015064.28,602.23,1.83,17534.0
2014-06-27,1778752.3,597.56,2.07,17587.0
2014-06-28,1736172.85,601.06,1.92,15236.0
2014-06-29,2394861.38,635.14,1.89,15482.0
2014-06-30,2675353.96,643.19,2.19,19860.0
2014-07-01,3099761.96,645.72,2.85,20443.0
2014-07-02,2580980.48,638.03,2.94,21375.0
2014-07-03,2291612.17,623.96,2.88,22046.0
2014-07-04,2034965.63,622.96,2.7,22659.0
2014-07-05,1698242.23,626.65,2.49,16997.0
2014-07-06,1590944.74,613.6,2.73,17331.0
2014-07-07,2004899.12,615.32,2.88,22248.0
2014-07-08,1920482.89,623.0,2.64,24425.0
2014-07-09,2253171.2,618.39,2.58,24542.0
2014-07-10,1969199.34,632.9,2.67,23242.0
2014-07-11,2179286.05,635.9,2.82,20939.0
2014-07-12,1082830.37,628.03,2.43,16719.0
2014-07-13,1601572.72,618.32,2.28,16133.0
2014-07-14,2310446.24,619.6,2.31,20287.0
2014-07-15,1873008.17,614.8,2.64,25031.0
2014-07-16,1833775.87,626.58,3.0,21984.0
2014-07-17,2109225.77,627.47,2.97,23305.0
2014-07-18,2505181.18,627.04,2.82,25897.0
2014-07-19,1442853.55,620.98,2.88,20261.0
2014-07-20,1596614.67,625.13,2.64,16827.0
2014-07-21,2068876.01,622.53,2.67,18501.0
2014-07-22,1372935.87,621.69,2.7,18386.0
2014-07-23,2896094.23,601.87,2.67,20612.0
2014-07-24,3592179.37,600.5,2.7,20448.0
2014-07-25,2095634.61,596.0,2.67,19971.0
2014-07-26,2118021.68,595.03,2.43,16000.0
